各時段打包紀錄 日期: 2022/5/26 11:10:41打包日期: 20220526 位址: D1400, 打包數: 0 位址: D1450, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:42打包日期: 20220526 位址: D1401, 打包數: 0 位址: D1451, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:42打包日期: 20220526 位址: D1402, 打包數: 0 位址: D1452, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:42打包日期: 20220526 位址: D1403, 打包數: 0 位址: D1453, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:42打包日期: 20220526 位址: D1404, 打包數: 0 位址: D1454, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:42打包日期: 20220526 位址: D1405, 打包數: 0 位址: D1455, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:43打包日期: 20220526 位址: D1406, 打包數: 0 位址: D1456, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:43打包日期: 20220526 位址: D1407, 打包數: 0 位址: D1457, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:43打包日期: 20220526 位址: D1408, 打包數: 0 位址: D1458, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:43打包日期: 20220526 位址: D1409, 打包數: 0 位址: D1459, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:43打包日期: 20220526 位址: D1410, 打包數: 0 位址: D1460, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:44打包日期: 20220526 位址: D1411, 打包數: 0 位址: D1461, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:44打包日期: 20220526 位址: D1412, 打包數: 0 位址: D1462, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:44打包日期: 20220526 位址: D1413, 打包數: 0 位址: D1463, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:44打包日期: 20220526 位址: D1414, 打包數: 0 位址: D1464, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:44打包日期: 20220526 位址: D1415, 打包數: 0 位址: D1465, 用電: 0
各時段打包紀錄 日期: 2022/5/26 11:10:45打包日期: 20220526 位址: D1416, 打包數: 0 位址: D1466, 用電: 0
